334_373,334_384,ratio,surfactant_1,assay,time,replicate,concentration,analysis,surfactant_1_ratio,surfactant_2,surfactant_2_ratio
133296.0,167994.0,0.7934569091753277,NaDC,b,5,3,2.135,fine,1.0,N/A,0.0
121709.0,150630.0,0.807999734448649,NaDC,b,5,3,2.756273148050945,fine,1.0,N/A,0.0
143249.0,175407.0,0.8166663816153289,NaDC,b,5,3,3.5583333333333336,fine,1.0,N/A,0.0
153011.0,181410.0,0.8434540543520203,NaDC,b,5,3,4.003125000000001,fine,1.0,N/A,0.0
117571.0,146014.0,0.805203610612681,NaDC,b,5,3,4.536875,fine,1.0,N/A,0.0
114543.0,141449.0,0.8097830313399176,NaDC,b,5,3,5.070625000000001,fine,1.0,N/A,0.0
158034.0,225406.0,0.7011082224962956,NaDC,b,5,3,5.604375,fine,1.0,N/A,0.0
164812.0,237405.0,0.6942229523388302,NaDC,b,5,3,6.1381250000000005,fine,1.0,N/A,0.0
163273.0,238537.0,0.6844766220754013,NaDC,b,5,3,6.671875,fine,1.0,N/A,0.0
156087.0,229841.0,0.679108601163413,NaDC,b,5,3,8.006250000000003,fine,1.0,N/A,0.0
146646.0,214955.0,0.6822172082528901,NaDC,b,5,3,10.336024305191044,fine,1.0,N/A,0.0
126948.0,184221.0,0.6891071050531699,NaDC,b,5,3,13.343749999999996,fine,1.0,N/A,0.0
122658.0,152226.0,0.8057624847266565,NaDC,c,5,3,2.135,fine,1.0,N/A,0.0
120175.0,148220.0,0.8107880178113614,NaDC,c,5,3,2.756273148050945,fine,1.0,N/A,0.0
122694.0,151209.0,0.8114199551613991,NaDC,c,5,3,3.5583333333333336,fine,1.0,N/A,0.0
123239.0,152480.0,0.8082305876180482,NaDC,c,5,3,4.003125000000001,fine,1.0,N/A,0.0
123748.0,153121.0,0.8081713154955884,NaDC,c,5,3,4.536875,fine,1.0,N/A,0.0
122835.0,151578.0,0.8103748565095199,NaDC,c,5,3,5.070625000000001,fine,1.0,N/A,0.0
167703.0,237999.0,0.7046374144429178,NaDC,c,5,3,5.604375,fine,1.0,N/A,0.0
171366.0,246331.0,0.6956737073287569,NaDC,c,5,3,6.1381250000000005,fine,1.0,N/A,0.0
